Date,GDP,GDPIMPR,LOGGDP,GrowthRate,li1,li2,T
1978Q4,141.226,1,4.950361444,0.008619026,-2,1,115
1979Q1,142.831,1,4.961662113,0.011300669,-1,0,116
1979Q2,144.374,1,4.972407155,0.010745042,0,-1,117
1979Q3,144.707,1,4.974711008,0.002303854,0,-2,118
1979Q4,145.289,1,4.978724862,0.004013854,-1,-3,119
1980Q1,146.187,1,4.984886624,0.006161762,-1,-3,120
1980Q2,147.723,1,4.995338898,0.010452274,1,-3,121
1980Q3,147.776,1,4.995697614,0.000358715,2,-3,122
1980Q4,147.79,1,4.995792347,9.47335E-05,0,-2,123
1981Q1,147.878,1,4.996387609,0.000595262,-1,-3,124
1981Q2,147.896,1,4.996509324,0.000121715,-2,-5,125
1981Q3,148.366,1,4.999682194,0.00317287,-1,-7,126
1981Q4,149.573,1,5.007784568,0.008102374,-1,-7,127
1982Q1,151.539,1,5.020843018,0.01305845,1,-9,128
1982Q2,153.586,1,5.034260671,0.013417653,2,-10,129
1982Q3,153.931,1,5.03650445,0.002243779,3,-11,130
1982Q4,153.554,0,5.034052297,-0.002452153,2,-12,131
1983Q1,153.495,0,5.033667993,-0.000384303,1,-11,132
1983Q2,154.071,1,5.037413535,0.003745542,0,-9,133
1983Q3,154.466,1,5.039974007,0.002560472,0,-7,134
1983Q4,154.719,1,5.041610568,0.001636561,-1,-4,135
1984Q1,155.208,1,5.044766153,0.003155584,1,-2,136
1984Q2,155.975,1,5.049695738,0.004929585,3,0,137
1984Q3,156.373,1,5.052244179,0.002548441,2,-1,138
1984Q4,155.818,0,5.048688659,-0.003555519,2,-1,139
1985Q1,155.7,0,5.047931079,-0.000757581,1,1,140
1985Q2,155.63,0,5.047481395,-0.000449684,-1,-1,141
1985Q3,155.494,0,5.046607146,-0.00087425,-1,-2,142
1985Q4,155.578,1,5.047147214,0.000540068,-1,-4,143
1986Q1,156.311,1,5.051847612,0.004700399,1,-5,144
1986Q2,156.641,1,5.053956563,0.00210895,2,-6,145
1986Q3,156.616,0,5.053796949,-0.000159613,3,-7,146
1986Q4,156,0,5.049856007,-0.003940942,2,-8,147
1987Q1,157.753,1,5.061030519,0.011174511,1,-9,148
1987Q2,158.249,1,5.064169742,0.003139223,0,-7,149
1987Q3,159.559,1,5.07241376,0.008244018,2,-5,150
1987Q4,159.7,1,5.073297055,0.000883295,0,-5,151
1988Q1,159.886,1,5.074461061,0.001164006,-1,-5,152
1988Q2,160.306,1,5.077084489,0.002623427,-3,-3,153
1988Q3,161.089,1,5.081957007,0.004872519,-2,-2,154
1988Q4,163.089,1,5.094296064,0.012339057,1,-2,155
1989Q1,163.219,1,5.095092857,0.000796793,2,-2,156
1989Q2,163.872,1,5.099085635,0.003992778,-1,-1,157
1989Q3,165.176,1,5.107011572,0.007925937,-2,0,158
1989Q4,166.753,1,5.116513676,0.009502104,-4,2,159
1990Q1,167.868,1,5.123177956,0.006664281,-4,3,160
1990Q2,169.211,1,5.131146457,0.007968501,-3,5,161
1990Q3,170.815,1,5.1405811,0.009434643,-2,5,162
1990Q4,172.365,1,5.149614321,0.009033222,-1,5,163
1991Q1,173.121,1,5.153990772,0.004376451,-1,4,164
1991Q2,174.023,1,5.159187474,0.005196702,-1,2,165
1991Q3,174.336,1,5.160984472,0.001796997,0,1,166
1991Q4,174.697,1,5.163053045,0.002068573,0,-1,167
1992Q1,175.033,1,5.164974528,0.001921483,1,-3,168
1992Q2,175.276,1,5.166361874,0.001387347,1,-4,169
1992Q3,175.771,1,5.169182011,0.002820137,2,-4,170
1992Q4,175.3,0,5.166498792,-0.00268322,4,-4,171
1993Q1,175.1,0,5.165357239,-0.001141553,3,-5,172
1993Q2,176.27,1,5.17201691,0.006659671,2,-6,173
1993Q3,176.941,1,5.175816344,0.003799433,1,-7,174
1993Q4,178.18,1,5.182794275,0.006977932,1,-7,175
1994Q1,178.812,1,5.186334975,0.003540699,0,-6,176
1994Q2,180.307,1,5.194660954,0.008325979,0,-5,177
1994Q3,181.249,1,5.199871776,0.005210823,0,-2,178
1994Q4,182.688,1,5.20777978,0.007908003,2,1,179
1995Q1,182.616,0,5.207385588,-0.000394192,3,3,180
1995Q2,182.612,0,5.207363683,-2.19041E-05,3,4,181
1995Q3,182.5,0,5.206750173,-0.00061351,2,6,182
1995Q4,182.972,1,5.209333136,0.002582963,1,7,183
1996Q1,183.095,1,5.210005144,0.000672008,-1,7,184
1996Q2,182.665,0,5.207653874,-0.00235127,0,7,185
1996Q3,182.577,0,5.207172002,-0.000481872,1,8,186
1996Q4,181.953,0,5.203748412,-0.00342359,0,7,187
1997Q1,180.542,0,5.195963438,-0.007784974,0,6,188
1997Q2,181.094,1,5.199016233,0.003052796,3,3,189
1997Q3,180.509,0,5.195780638,-0.003235595,4,1,190
1997Q4,179.751,0,5.19157256,-0.004208078,2,-1,191
1998Q1,178.861,0,5.186608968,-0.004963592,-1,-2,192
1998Q2,178.356,0,5.183781553,-0.002827415,-1,-3,193
1998Q3,178.837,1,5.186474776,0.002693223,-1,-3,194
1998Q4,179.803,1,5.191861807,0.005387031,0,0,195
1999Q1,180.35,1,5.194899407,0.0030376,0,1,196
1999Q2,180.223,0,5.194194973,-0.000704434,1,1,197
1999Q3,179.9,0,5.192401141,-0.001793832,3,1,198
1999Q4,179.801,0,5.191850684,-0.000550457,3,2,199
2000Q1,178.835,0,5.186463593,-0.005387091,3,2,200
2000Q2,178.923,1,5.186955546,0.000491953,0,1,201
2000Q3,178.099,0,5.182339575,-0.00461597,-2,0,202
2000Q4,177.656,0,5.179849096,-0.002490479,-4,-2,203
2001Q1,178.892,1,5.186782272,0.006933176,-4,0,204
2001Q2,180.05,1,5.19323459,0.006452318,-3,2,205
2001Q3,182.13,1,5.204720718,0.011486128,0,3,206
2001Q4,184.28,1,5.21645634,0.011735622,2,2,207
2002Q1,183.968,0,5.214761829,-0.001694511,4,3,208
2002Q2,183.4,0,5.21166956,-0.00309227,3,2,209
2002Q3,184.286,1,5.216488899,0.004819339,1,1,210
2002Q4,185.661,1,5.22392243,0.007433531,-2,2,211
2003Q1,187.837,1,5.235574565,0.011652135,-5,0,212
2003Q2,190.378,1,5.249011569,0.013437004,-5,-2,213
2003Q3,192.91,1,5.262223759,0.013212189,-5,-2,214
2003Q4,196.648,1,5.281415328,0.01919157,-4,0,215
2004Q1,199.141,1,5.294013117,0.012597788,-3,2,216
2004Q2,202.191,1,5.309212795,0.015199679,-3,5,217
2004Q3,204.94,1,5.322717253,0.013504458,-2,6,218
2004Q4,207.714,1,5.336162134,0.01344488,-1,5,219
2005Q1,207.728,1,5.336229532,6.73981E-05,0,3,220
2005Q2,207.686,0,5.336027324,-0.000202208,0,1,221
2005Q3,208.464,1,5.339766364,0.003739041,-2,-1,222
2005Q4,209.198,1,5.343281172,0.003514807,-2,-2,223
2006Q1,210.887,1,5.351322445,0.008041273,-2,-5,224
2006Q2,212.95,1,5.361057396,0.009734951,-1,-5,225
2006Q3,214.403,1,5.367857422,0.006800025,-1,-6,226
2006Q4,216.141,1,5.375930972,0.008073551,-1,-6,227
2007Q1,218.578,1,5.38714293,0.011211958,0,-5,228
2007Q2,220.907,1,5.397741798,0.010598868,-1,-4,229
2007Q3,223.074,1,5.407503555,0.009761757,-1,-1,230
2007Q4,224.709,1,5.414806232,0.007302677,0,2,231
2008Q1,224.436,0,5.413590589,-0.001215643,1,3,232
2008Q2,224.113,0,5.412150389,-0.0014402,0,4,233
2008Q3,223.984,0,5.411574621,-0.000575768,0,4,234
2008Q4,224.124,1,5.41219947,0.000624849,2,2,235
2009Q1,224.852,1,5.415442408,0.003242938,3,0,236
2009Q2,225.347,1,5.417641436,0.002199028,2,0,237
2009Q3,225.792,1,5.419614222,0.001972785,3,-1,238
2009Q4,226.089,1,5.420928727,0.001314506,5,-1,239
2010Q1,226.994,1,5.424923585,0.003994858,4,-2,240
2010Q2,226.03,0,5.420667734,-0.004255852,4,-3,241
2010Q3,225.9,0,5.420092423,-0.00057531,5,-3,242
2010Q4,225.856,0,5.419897628,-0.000194795,5,-2,243
2011Q1,225.929,1,5.420220791,0.000323163,7,-1,244
2011Q2,224.068,0,5.411949577,-0.008271213,7,1,245
2011Q3,222.164,0,5.403415848,-0.008533729,5,1,246
2011Q4,221.734,0,5.401478465,-0.001937383,4,2,247
2012Q1,222.325,1,5.404140275,0.00266181,2,2,248
2012Q2,222.255,0,5.403825371,-0.000314904,0,3,249
2012Q3,223.295,1,5.408493767,0.004668396,-1,4,250
2012Q4,224.934,1,5.415807026,0.007313259,0,6,251
2013Q1,225.81,1,5.419693938,0.003886912,0,5,252
2013Q2,226.353,1,5.422095728,0.00240179,-1,4,253
2013Q3,227.306,1,5.426297127,0.0042014,-1,2,254
2013Q4,226.913,0,5.424566684,-0.001730443,0,1,255
2014Q1,226.55,0,5.422965671,-0.001601013,-1,1,256
2014Q2,227.516,1,5.427220566,0.004254894,-2,0,257
2014Q3,229.343,1,5.4352187,0.007998134,-2,-1,258
2014Q4,231.583,1,5.444938341,0.009719641,-2,-1,259
2015Q1,234.097,1,5.455735559,0.010797219,-1,0,260
2015Q2,236.829,1,5.467338362,0.011602802,2,2,261
2015Q3,237.497,1,5.470154992,0.00281663,3,4,262
2015Q4,237.098,0,5.468473558,-0.001681434,2,5,263
